order-date,order-date-day,order-no,platform,category,sku,state,cust-zone,qty,revenue
01-12-2024,1,A1,Plt2,Cat1,sku1,RAJASTHAN,W,1,5390
01-12-2024,1,A2,Plt2,Cat2,sku2,MAHARASHTRA,W,1,1999
01-12-2024,1,A3,Plt2,Cat3,sku3,MAHARASHTRA,W,1,1099
01-12-2024,1,A4,Plt2,Cat4,sku4,UTTAR PRADESH,N,1,2299
01-12-2024,1,A5,Plt2,Cat2,sku5,HARYANA,N,1,999
01-12-2024,1,A6,Plt2,Cat1,sku6,DELHI,N,1,3099
01-12-2024,1,A7,Plt2,Cat2,sku5,BIHAR,E,1,999
01-12-2024,1,A8,Plt2,Cat2,sku7,TAMIL NADU,S,1,1599
01-12-2024,1,A9,Plt2,Cat6,sku8,HARYANA,N,1,1999
01-12-2024,1,A10,Plt2,Cat6,sku9,HARYANA,N,1,1499
01-12-2024,1,A11,Plt2,Cat2,sku10,MADHYA PRADESH,W,1,1697
01-12-2024,1,A12,Plt2,Cat2,sku5,UTTAR PRADESH,N,1,999
01-12-2024,1,A13,Plt2,Cat6,sku11,KARNATAKA,S,1,1399
01-12-2024,1,A14,Plt2,Cat2,sku12,RAJASTHAN,W,1,1597
01-12-2024,1,A15,Plt2,Cat2,sku5,UTTARAKHAND,N,1,999
01-12-2024,1,A16,Plt2,Cat2,sku13,RAJASTHAN,W,1,1499
01-12-2024,1,A17,Plt2,Cat2,sku7,MAHARASHTRA,W,1,1599
01-12-2024,1,A18,Plt2,Cat2,sku12,ASSAM,E,1,1597
01-12-2024,1,A19,Plt2,Cat2,sku12,ASSAM,E,1,1597
01-12-2024,1,A20,Plt2,Cat1,sku14,GUJARAT,W,1,3639
01-12-2024,1,A21,Plt2,Cat4,sku15,WEST BENGAL,E,1,2299
01-12-2024,1,A22,Plt2,Cat3,sku16,RAJASTHAN,W,1,999
01-12-2024,1,A23,Plt2,Cat6,sku8,KERALA,S,1,1999
01-12-2024,1,A24,Plt2,Cat2,sku2,TAMIL NADU,S,1,1999
01-12-2024,1,A25,Plt2,Cat2,sku5,DELHI,N,1,999
01-12-2024,1,A26,Plt2,Cat6,sku17,TELANGANA,S,1,1499
01-12-2024,1,A27,Plt2,Cat2,sku5,MAHARASHTRA,W,1,999
01-12-2024,1,A28,Plt2,Cat6,sku18,RAJASTHAN,W,1,1699
01-12-2024,1,A29,Plt2,Cat1,sku19,KERALA,S,1,4800
01-12-2024,1,A30,Plt2,Cat3,sku16,PONDICHERRY,S,1,999
01-12-2024,1,A31,Plt2,Cat6,sku20,MEGHALAYA,E,1,1699
01-12-2024,1,A32,Plt2,Cat2,sku2,ASSAM,E,1,1999
